commits touching data/diary_live.csv: 31
distinct diary dates ever present:    62

diary_date   first authored at            lag_days
2025-09-02   2026-03-23T15:19:30+01:00      202.60
2025-09-04   2026-04-01T17:08:24+02:00      209.63
2025-09-05   2026-04-01T17:38:52+02:00      208.65
2025-09-06   2026-04-01T23:20:27+02:00      207.89
2025-09-07   2026-03-23T15:19:30+01:00      197.60
2025-09-08   2026-04-01T23:22:28+02:00      205.89
2025-09-09   2026-04-01T23:23:54+02:00      204.89
2025-09-10   2026-04-01T23:24:53+02:00      203.89
2025-09-11   2026-04-01T23:30:56+02:00      202.90
2025-09-12   2026-04-01T23:31:55+02:00      201.90
2025-09-13   2026-03-23T15:19:30+01:00      191.60
2025-09-15   2026-03-23T15:19:30+01:00      189.60
2025-09-16   2026-04-01T23:26:54+02:00      197.89
2025-09-22   2026-03-23T15:19:30+01:00      182.60
2025-09-23   2026-03-23T15:19:30+01:00      181.60
2025-09-30   2026-03-23T15:19:30+01:00      174.60
2025-10-01   2026-03-23T15:19:30+01:00      173.60
2025-10-05   2026-03-23T15:19:30+01:00      169.60
2025-10-07   2026-04-01T23:12:19+02:00      176.88
2025-10-08   2026-04-01T23:27:53+02:00      175.89
2025-10-21   2026-03-23T15:19:30+01:00      153.60
2025-10-24   2026-03-23T15:19:30+01:00      150.60
2025-11-01   2026-04-01T17:42:52+02:00      151.65
2025-11-02   2026-04-01T17:50:18+02:00      150.66
2025-11-04   2026-04-01T17:41:45+02:00      148.65
2025-11-21   2026-04-01T23:28:53+02:00      131.90
2025-12-06   2026-04-01T23:13:27+02:00      116.88
2025-12-11   2026-04-01T17:55:43+02:00      111.66
2025-12-30   2026-04-01T23:17:12+02:00       92.89
2026-01-14   2026-04-01T17:57:49+02:00       77.67
2026-01-23   2026-04-01T17:54:33+02:00       68.66
2026-02-01   2026-03-23T15:19:30+01:00       50.60
2026-02-02   2026-03-23T15:19:30+01:00       49.60
2026-02-03   2026-03-23T15:19:30+01:00       48.60
2026-02-04   2026-03-23T15:19:30+01:00       47.60
2026-02-05   2026-03-23T15:19:30+01:00       46.60
2026-02-06   2026-03-23T15:19:30+01:00       45.60
2026-02-07   2026-03-23T15:19:30+01:00       44.60
2026-02-08   2026-03-23T15:19:30+01:00       43.60
2026-02-09   2026-03-23T15:19:30+01:00       42.60
2026-02-10   2026-03-23T15:19:30+01:00       41.60
2026-02-11   2026-03-23T15:19:30+01:00       40.60
2026-02-12   2026-03-23T15:19:30+01:00       39.60
2026-02-13   2026-03-23T15:19:30+01:00       38.60
2026-02-14   2026-03-23T15:19:30+01:00       37.60
2026-02-15   2026-03-23T15:19:30+01:00       36.60
2026-02-16   2026-03-23T15:19:30+01:00       35.60
2026-02-17   2026-03-23T15:19:30+01:00       34.60
2026-02-18   2026-03-23T15:19:30+01:00       33.60
2026-02-19   2026-03-23T15:19:30+01:00       32.60
2026-02-20   2026-03-23T15:19:30+01:00       31.60
2026-02-21   2026-03-23T15:19:30+01:00       30.60
2026-02-22   2026-03-23T15:19:30+01:00       29.60
2026-02-23   2026-03-23T15:19:30+01:00       28.60
2026-02-24   2026-03-23T15:19:30+01:00       27.60
2026-02-25   2026-03-23T15:19:30+01:00       26.60
2026-02-26   2026-03-23T15:19:30+01:00       25.60
2026-02-27   2026-03-23T15:19:30+01:00       24.60
2026-02-28   2026-03-23T15:19:30+01:00       23.60
2026-03-01   2026-04-01T17:05:54+02:00       31.63
2026-04-02   2026-04-01T18:18:00+02:00       -0.32
2026-11-03   2026-04-01T17:51:55+02:00     -215.34

lag (days between the day described and the day it was written):
  min=-215.34  median=59.63  max=209.63  mean=97.89
  authored > 2d after the reported day: 60/62
  authored > 7d after the reported day: 60/62
  authored >30d after the reported day: 53/62
  authored >90d after the reported day: 29/62
  authored within 2d of the reported day:  1/62

authoring sessions (commit timestamp -> diary dates written):
  2026-03-23T15:19:30+01:00  ->  39
  2026-04-01T17:05:54+02:00  ->  1
  2026-04-01T17:08:24+02:00  ->  1
  2026-04-01T17:38:52+02:00  ->  1
  2026-04-01T17:41:45+02:00  ->  1
  2026-04-01T17:42:52+02:00  ->  1
  2026-04-01T17:50:18+02:00  ->  1
  2026-04-01T17:51:55+02:00  ->  1
  2026-04-01T17:54:33+02:00  ->  1
  2026-04-01T17:55:43+02:00  ->  1
  2026-04-01T17:57:49+02:00  ->  1
  2026-04-01T18:18:00+02:00  ->  1
  2026-04-01T23:12:19+02:00  ->  1
  2026-04-01T23:13:27+02:00  ->  1
  2026-04-01T23:17:12+02:00  ->  1
  2026-04-01T23:20:27+02:00  ->  1
  2026-04-01T23:22:28+02:00  ->  1
  2026-04-01T23:23:54+02:00  ->  1
  2026-04-01T23:24:53+02:00  ->  1
  2026-04-01T23:26:54+02:00  ->  1
  2026-04-01T23:27:53+02:00  ->  1
  2026-04-01T23:28:53+02:00  ->  1
  2026-04-01T23:30:56+02:00  ->  1
  2026-04-01T23:31:55+02:00  ->  1
